incident_id,created_datetime,product,issue_category,issue_description,severity,assigned_team,resolution_time_hrs,reopened_count,sla_breached,day_of_week,hour_of_day,is_weekend,description_length
ae8c41f0-8092-4e62-acff-5ebf4c2098c1,2025-05-29 11:36:59,PSA,Access Issue,login failed,S1,L1 Support,4.7,0,0,Thursday,11,0,12
82896010-9554-406c-9a70-d2e3357d982b,2025-06-15 19:37:23,Time Off Plus,Access Issue,access denied,S3,L1 Support,25.9,1,1,Sunday,19,1,13
ea3d3318-342a-4760-b74e-f3afd2e8582b,2025-03-13 05:09:35,TimeBill Plus,Access Issue,login failed,S1,L1 Support,6.6,0,0,Thursday,5,0,12
9ec414b7-cdc2-40f2-8761-58793d643656,2025-10-07 08:34:45,Time Off Plus,Configuration,setup issue,S1,L1 Support,18.2,0,0,Tuesday,8,0,11
489d9958-f774-42ee-a0a5-9a98b75ce9c8,2025-01-11 12:36:50,Expense Plus,Configuration,integration failed,S1,L2 Support,2.8,0,0,Saturday,12,1,18
24bff957-e814-4bde-8416-2123f0b12689,2025-04-25 08:53:27,Time Attend Plus,Access Issue,login failed,S1,L2 Support,13.8,0,1,Friday,8,0,12
a50ee3aa-56cb-49b1-b988-fc92dfd3d407,2025-04-04 20:32:03,TimeBill Plus,Performance,system lag,S1,L1 Support,12.4,0,0,Friday,20,0,10
00e64d06-b356-479b-a0f6-beffe3e65270,2025-11-23 17:25:30,Time Off Plus,Error,unknown error,S1,L2 Support,7.3,0,0,Sunday,17,1,13
bbec86ae-aee0-4293-bfb2-68d3eb184b91,2025-06-17 12:30:48,TimeBill Plus,How To,usage question,S1,L2 Support,17.1,0,1,Tuesday,12,0,14
81749b76-fe3a-460f-b842-45d0d6d15cd2,2025-04-16 15:06:59,Time Off Plus,Error,page not loading,S2,L2 Support,4.8,2,0,Wednesday,15,0,16
f075f958-8141-4194-bcab-c8fc3241670a,2025-04-08 14:01:01,Expense Plus,Access Issue,login failed,S1,L2 Support,20.4,0,0,Tuesday,14,0,12
3f83a616-e0f3-4f7c-a3e8-8f4c7bd65601,2025-10-07 13:20:35,Time Attend Plus,Performance,slow loading,S1,L2 Support,13.6,0,0,Tuesday,13,0,12
672e1d4a-05f8-46ca-8b09-67534074d9d2,2025-02-17 06:55:42,PSA,Error,application crash,S1,L2 Support,5.6,0,0,Monday,6,0,17
86ed2237-3730-48b2-982a-c50db69fb10e,2025-03-23 01:09:17,TimeBill Plus,Error,page not loading,S1,L3 Support,4.3,0,0,Sunday,1,1,16
15d9929f-8289-4e17-8004-017940ef625c,2026-01-02 20:37:04,Expense Plus,Configuration,wrong configuration,S1,L1 Support,19.0,0,0,Friday,20,0,19
e0f6aea4-de5d-49c1-9302-22e1cd15cf9d,2025-12-27 01:14:59,Time Off Plus,Error,page not loading,S1,L1 Support,16.7,0,0,Saturday,1,1,16
080355be-6633-4db0-8875-602f438af1d5,2025-07-28 20:05:03,TimeBill Plus,Access Issue,login failed,S1,L2 Support,10.1,1,0,Monday,20,0,12
909ed42a-1cbc-490a-aab1-96f49b44b600,2025-03-20 15:50:01,Time Off Plus,Access Issue,login failed,S1,L3 Support,13.1,0,1,Thursday,15,0,12
feadfa61-774c-49dc-9fe7-b97f05b3e2e0,2025-09-21 14:11:27,Time Attend Plus,How To,how to configure,S3,L1 Support,18.3,1,1,Sunday,14,1,16
919f78fe-78f5-458a-87b9-c6a61f851c94,2025-12-06 15:42:22,Time Off Plus,Performance,timeout error,S2,L3 Support,29.3,0,1,Saturday,15,1,13
dacf1a84-8729-4847-aacc-6b3191082d33,2025-09-26 20:09:20,Time Off Plus,Configuration,integration failed,S1,L2 Support,17.3,0,1,Friday,20,0,18
41f40eeb-cb11-4912-a822-2cddcc725707,2025-02-07 16:38:30,Time Attend Plus,Performance,timeout error,S1,L1 Support,29.9,0,0,Friday,16,0,13
1c37761b-7f5e-49ad-bd32-ff892f04ed63,2025-05-12 02:43:37,Expense Plus,Access Issue,login failed,S2,L3 Support,19.3,1,0,Monday,2,0,12
502866d6-2d74-46d1-95f4-c330a23b250f,2025-04-02 01:46:51,Time Attend Plus,Access Issue,password reset,S2,L3 Support,21.4,1,0,Wednesday,1,0,14
2e9df4ea-1a9f-4c70-97ba-1bf901b5f554,2025-10-17 12:21:35,Time Off Plus,Configuration,integration failed,S1,L1 Support,7.9,0,0,Friday,12,0,18
9ed85766-819d-486b-b7da-c3cf7bb48483,2025-12-10 08:13:30,Time Off Plus,Access Issue,access denied,S1,L2 Support,12.7,0,0,Wednesday,8,0,13
007d6724-71ef-4b48-b081-81005bb37dcc,2025-12-10 00:22:58,PSA,Error,application crash,S2,L2 Support,16.3,0,1,Wednesday,0,0,17
95da9de6-1b64-4edc-92b9-2061f7dcf32d,2025-02-26 10:07:06,PSA,Access Issue,access denied,S1,L3 Support,7.1,1,0,Wednesday,10,0,13
